property_name,city,state,area,property_type,hotel_star_rating,site_review_rating,price,hotel_facilities,hotel_description
Jaipur Stay 26,Jaipur,NA,Area 1,Hotel,4,3.8,19976,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 27,Jaipur,NA,Area 2,Hotel,5,4.2,12674,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 28,Jaipur,NA,Area 3,Hotel,2,4.6,16148,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 29,Jaipur,NA,Area 4,Hotel,5,4.4,10045,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 30,Jaipur,NA,Area 5,Hotel,2,4.4,3329,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 1,Goa,NA,Area 1,Hotel,5,3.7,11045,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 2,Goa,NA,Area 2,Hotel,4,3.2,13541,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 3,Goa,NA,Area 3,Hotel,4,3.5,16028,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 4,Goa,NA,Area 4,Hotel,5,3.3,4736,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 5,Goa,NA,Area 5,Hotel,4,3.4,26073,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 6,Goa,NA,Area 1,Hotel,5,3.9,9013,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 7,Goa,NA,Area 2,Hotel,5,3.3,29454,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 8,Goa,NA,Area 3,Hotel,5,4.1,15618,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 9,Goa,NA,Area 4,Hotel,3,4.6,29846,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 10,Goa,NA,Area 5,Hotel,4,4.4,29211,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 11,Goa,NA,Area 1,Hotel,5,4.8,12656,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 12,Goa,NA,Area 2,Hotel,2,3.5,5845,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 13,Goa,NA,Area 3,Hotel,3,3.2,8500,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 14,Goa,NA,Area 4,Hotel,3,3.6,28133,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 15,Goa,NA,Area 5,Hotel,3,3.9,1034,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 16,Goa,NA,Area 1,Hotel,4,4.8,12999,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 17,Goa,NA,Area 2,Hotel,2,4.0,23526,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 18,Goa,NA,Area 3,Hotel,5,3.9,29440,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 19,Goa,NA,Area 4,Hotel,2,4.0,13814,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 20,Goa,NA,Area 5,Hotel,2,3.5,14021,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 21,Goa,NA,Area 1,Hotel,5,3.5,7740,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 22,Goa,NA,Area 2,Hotel,2,3.4,12042,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 23,Goa,NA,Area 3,Hotel,3,4.1,19472,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 24,Goa,NA,Area 4,Hotel,4,4.2,31995,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 25,Goa,NA,Area 5,Hotel,3,4.2,3204,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 26,Goa,NA,Area 1,Hotel,4,4.8,5767,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 27,Goa,NA,Area 2,Hotel,4,4.0,20635,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 28,Goa,NA,Area 3,Hotel,5,4.9,4679,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 29,Goa,NA,Area 4,Hotel,5,4.0,16169,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Goa Stay 30,Goa,NA,Area 5,Hotel,3,3.4,3714,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 1,Kochi,NA,Area 1,Hotel,4,4.0,12227,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 2,Kochi,NA,Area 2,Hotel,2,3.5,6290,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 3,Kochi,NA,Area 3,Hotel,3,4.4,12853,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 4,Kochi,NA,Area 4,Hotel,4,4.9,1886,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 5,Kochi,NA,Area 5,Hotel,4,4.1,3982,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 6,Kochi,NA,Area 1,Hotel,4,4.5,6473,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 7,Kochi,NA,Area 2,Hotel,4,4.3,17472,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 8,Kochi,NA,Area 3,Hotel,3,4.6,7394,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 9,Kochi,NA,Area 4,Hotel,3,4.1,8429,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 10,Kochi,NA,Area 5,Hotel,2,4.9,12651,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 11,Kochi,NA,Area 1,Hotel,5,3.6,10155,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 12,Kochi,NA,Area 2,Hotel,5,4.6,12281,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 13,Kochi,NA,Area 3,Hotel,4,3.3,12453,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 14,Kochi,NA,Area 4,Hotel,3,4.0,4347,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 15,Kochi,NA,Area 5,Hotel,3,4.0,12066,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 16,Kochi,NA,Area 1,Hotel,5,4.7,1062,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 17,Kochi,NA,Area 2,Hotel,2,4.6,12272,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 18,Kochi,NA,Area 3,Hotel,5,4.5,4929,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 19,Kochi,NA,Area 4,Hotel,5,4.7,7531,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 20,Kochi,NA,Area 5,Hotel,4,3.3,15218,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 21,Kochi,NA,Area 1,Hotel,5,3.9,13970,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 22,Kochi,NA,Area 2,Hotel,3,3.5,3782,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 23,Kochi,NA,Area 3,Hotel,2,3.5,5162,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 24,Kochi,NA,Area 4,Hotel,3,4.2,16248,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 25,Kochi,NA,Area 5,Hotel,4,3.5,16543,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 26,Kochi,NA,Area 1,Hotel,2,3.2,5292,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 27,Kochi,NA,Area 2,Hotel,3,3.9,4367,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 28,Kochi,NA,Area 3,Hotel,3,3.2,7383,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 29,Kochi,NA,Area 4,Hotel,4,4.1,7972,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Kochi Stay 30,Kochi,NA,Area 5,Hotel,4,4.1,11682,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
