input_destination,input_duration,input_interests_001,input_interests_002,input_interests_003,input_interests_004,input_interests_005,output_optimized_itinerary_state,output_optimized_itinerary_days_day,output_optimized_itinerary_days_morning,output_optimized_itinerary_days_afternoon,output_optimized_itinerary_days_evening
Gangtok,4.0,mountains,monasteries,nature,Not Specified,Not Specified,,1,Arrive in Gangtok and relax,Explore MG Marg,Enjoy local cuisine
Gangtok,4.0,mountains,monasteries,nature,Not Specified,Not Specified,,2,Day trip to Tsomgo Lake and Baba Mandir,Enjoy the scenic beauty,Return to Gangtok
Gangtok,4.0,mountains,monasteries,nature,Not Specified,Not Specified,,3,Visit Rumtek Monastery,Explore the Namgyal Institute of Tibetology,Ropeway ride
Gangtok,4.0,mountains,monasteries,nature,Not Specified,Not Specified,,4,Visit Enchey Monastery and Ganesh Tok,Explore the flower exhibition centre,Departure
Shillong,4.0,nature,waterfalls,caves,Not Specified,Not Specified,,1,Arrive in Shillong and visit Umiam Lake,Explore Ward's Lake and Lady Hydari Park,Stroll around Police Bazaar
Shillong,4.0,nature,waterfalls,caves,Not Specified,Not Specified,,2,Day trip to Cherrapunji,Visit Nohkalikai Falls and Mawsmai Cave,Return to Shillong
Shillong,4.0,nature,waterfalls,caves,Not Specified,Not Specified,,3,Visit Shillong Peak and Elephant Falls,Explore the Don Bosco Museum,Enjoy the nightlife
Shillong,4.0,nature,waterfalls,caves,Not Specified,Not Specified,,4,Day trip to Mawlynnong (Asia's cleanest village),Visit the Living Root Bridge,Return to Shillong
Tawang,5.0,monasteries,mountains,history,Not Specified,Not Specified,,1,Travel to Tawang from Guwahati/Tezpur,Stop at Sela Pass,Arrive in Tawang and relax
Tawang,5.0,monasteries,mountains,history,Not Specified,Not Specified,,2,Visit Tawang Monastery,Explore the Giant Buddha Statue,Visit the Tawang War Memorial
Tawang,5.0,monasteries,mountains,history,Not Specified,Not Specified,,3,Day trip to Bum La Pass and Madhuri Lake,Enjoy the scenic beauty,Return to Tawang
Tawang,5.0,monasteries,mountains,history,Not Specified,Not Specified,,4,Visit Urgelling Monastery and Ani Gompa,Explore the local markets,Relax
Tawang,5.0,monasteries,mountains,history,Not Specified,Not Specified,,5,Travel back to Guwahati/Tezpur,Not Available,Departure
Puri,3.0,temples,beaches,spirituality,Not Specified,Not Specified,,1,Visit Jagannath Temple,Relax on Puri Beach,Explore the local markets
Puri,3.0,temples,beaches,spirituality,Not Specified,Not Specified,,2,Day trip to Konark Sun Temple,Visit Chandrabhaga Beach,Return to Puri
Puri,3.0,temples,beaches,spirituality,Not Specified,Not Specified,,3,Visit Raghurajpur heritage village,Explore the Chilika Lake,Departure
Konark,1.0,temples,architecture,spirituality,Not Specified,Not Specified,,1,Visit the Konark Sun Temple,Explore the Archaeological Survey of India Museum,Visit Chandrabhaga Beach
Rameshwaram,2.0,temples,spirituality,history,Not Specified,Not Specified,,1,Visit Ramanathaswamy Temple and take a holy dip in Agnitheertham,Explore Dhanushkodi,Visit APJ Abdul Kalam Memorial
Rameshwaram,2.0,temples,spirituality,history,Not Specified,Not Specified,,2,Visit the five-faced Hanuman temple,Explore Pamban Bridge,Departure
Kanyakumari,2.0,beaches,spirituality,sunsets,Not Specified,Not Specified,,1,Visit Vivekananda Rock Memorial and Thiruvalluvar Statue,Explore Kanyakumari Temple,Witness the sunset at the Triveni Sangam
Kanyakumari,2.0,beaches,spirituality,sunsets,Not Specified,Not Specified,,2,Witness the sunrise,Visit the Gandhi Memorial Mandapam,Departure
Tirupati,2.0,temples,pilgrimage,spirituality,Not Specified,Not Specified,,1,Visit Sri Venkateswara Temple in Tirumala,Explore other temples in Tirumala,Return to Tirupati
Tirupati,2.0,temples,pilgrimage,spirituality,Not Specified,Not Specified,,2,Visit Sri Govindarajaswamy Temple and Sri Padmavathi Ammavari Temple,Explore the local markets,Departure
Vaishno Devi,3.0,pilgrimage,trekking,spirituality,Not Specified,Not Specified,,1,Arrive in Katra and start the trek to Vaishno Devi Bhawan,Continue the trek,Reach Bhawan and have darshan
Vaishno Devi,3.0,pilgrimage,trekking,spirituality,Not Specified,Not Specified,,2,Visit Bhairon Nath Temple,Trek back to Katra,Rest in Katra
Vaishno Devi,3.0,pilgrimage,trekking,spirituality,Not Specified,Not Specified,,3,Explore Katra,Departure,Not Available
Haridwar,2.0,spirituality,temples,ganga river,Not Specified,Not Specified,,1,Take a holy dip in the Ganges at Har Ki Pauri,Visit Mansa Devi Temple and Chandi Devi Temple,Witness the Ganga Aarti
Haridwar,2.0,spirituality,temples,ganga river,Not Specified,Not Specified,,2,Visit various ashrams and temples,Explore the local markets,Departure
Mathura-Vrindavan,2.0,temples,spirituality,history,Not Specified,Not Specified,,1,Visit Krishna Janmabhoomi Temple in Mathura,Explore Dwarkadheesh Temple and Vishram Ghat,Travel to Vrindavan
Mathura-Vrindavan,2.0,temples,spirituality,history,Not Specified,Not Specified,,2,Visit Banke Bihari Temple and ISKCON Temple in Vrindavan,Explore Prem Mandir and other temples,Departure
Bodh Gaya,2.0,buddhism,spirituality,history,Not Specified,Not Specified,,1,Visit the Mahabodhi Temple and the Bodhi Tree,Explore various monasteries built by different countries,Meditation session
Bodh Gaya,2.0,buddhism,spirituality,history,Not Specified,Not Specified,,2,Visit the Great Buddha Statue,Explore the archaeological museum,Departure
Pushkar,2.0,Spiritual,Culture,Shopping,Not Specified,Not Specified,,1,"Visit the Brahma Temple, the only one in the world",Explore the Pushkar Lake and its 52 bathing ghats,Walk through the main Pushkar market for shopping
Pushkar,2.0,Spiritual,Culture,Shopping,Not Specified,Not Specified,,2,Hike to Savitri Temple for panoramic views,Camel ride in the nearby desert landscape,Attend the evening aarti at the ghats
Spiti Valley,8.0,Adventure,Nature,Photography,Culture,Not Specified,,1,Travel from Manali to Kaza,Acclimatize in Kaza,Explore Kaza market
Spiti Valley,8.0,Adventure,Nature,Photography,Culture,Not Specified,,2,Visit the iconic Key Monastery,Explore the villages of Kibber and Chicham,Stargazing in Kaza
Spiti Valley,8.0,Adventure,Nature,Photography,Culture,Not Specified,,3,"Drive to Langza, famous for its Buddha statue","Visit Hikkim, home to the world's highest post office","Homestay experience in Komic, one of the world's highest villages"
Spiti Valley,8.0,Adventure,Nature,Photography,Culture,Not Specified,,4,Travel to Tabo,"Explore Tabo Monastery, a UNESCO World Heritage site",Relax in Tabo
Spiti Valley,8.0,Adventure,Nature,Photography,Culture,Not Specified,,5,"Visit Dhankar Monastery, perched on a cliff",Hike to Dhankar Lake,Return to Kaza
Spiti Valley,8.0,Adventure,Nature,Photography,Culture,Not Specified,,6,Explore the Pin Valley National Park,Visit the village of Mudh,Cultural interaction with locals
Spiti Valley,8.0,Adventure,Nature,Photography,Culture,Not Specified,,7,Drive towards Chandratal Lake,Camping near Chandratal Lake,Enjoy the pristine beauty of the lake
Spiti Valley,8.0,Adventure,Nature,Photography,Culture,Not Specified,,8,Travel back to Manali via Rohtang Pass,Journey back,Arrive in Manali
Dharamshala & Mcleodganj,3.0,Spiritual,Nature,Culture,Food,Not Specified,,1,Explore Mcleodganj main square and visit the Dalai Lama Temple (Tsuglagkhang Complex),Walk to Bhagsu Nag Temple and waterfall,Enjoy dinner at a Tibetan restaurant
Dharamshala & Mcleodganj,3.0,Spiritual,Nature,Culture,Food,Not Specified,,2,"Trek to Triund (9km, 4-5 hours)",Enjoy the stunning views of the Dhauladhar range,Camping under the stars at Triund
Dharamshala & Mcleodganj,3.0,Spiritual,Nature,Culture,Food,Not Specified,,3,Trek down from Triund,Visit the Norbulingka Institute and Dharamshala Cricket Stadium,Explore the cafes of Dharamkot
Gokarna,3.0,Beach,Nature,Spiritual,Adventure,Not Specified,,1,Arrive in Gokarna and check into a beach hut,Relax at the main Gokarna Beach,Visit Mahabaleshwar Temple
Gokarna,3.0,Beach,Nature,Spiritual,Adventure,Not Specified,,2,Beach trek from Kudle Beach to Om Beach,Continue trek to Half Moon Beach and Paradise Beach,Enjoy the sunset from a cliff-side cafe at Om Beach
Gokarna,3.0,Beach,Nature,Spiritual,Adventure,Not Specified,,3,Try surfing or other water sports,Explore the local market,Relax and enjoy the coastal vibe
Coorg (Kodagu),3.0,Nature,Photography,Food,Culture,Not Specified,,1,Arrive in Madikeri and visit Raja's Seat for panoramic views,Explore Abbey Falls,Walk through a coffee plantation
Coorg (Kodagu),3.0,Nature,Photography,Food,Culture,Not Specified,,2,Visit the Dubare Elephant Camp for an elephant interaction,Explore the Namdroling Monastery (Golden Temple) in Bylakuppe,Enjoy traditional Kodava cuisine
Coorg (Kodagu),3.0,Nature,Photography,Food,Culture,Not Specified,,3,"Drive to Talakaveri, the source of the river Kaveri",Visit Mandalpatti viewpoint for breathtaking views,Shopping for local spices and coffee
Hyderabad,3.0,History,Food,Shopping,Culture,Not Specified,,1,Explore the iconic Charminar and the bustling Laad Bazaar,Visit the grand Chowmahalla Palace,Enjoy authentic Hyderabadi Biryani for dinner
Hyderabad,3.0,History,Food,Shopping,Culture,Not Specified,,2,Visit the magnificent Golconda Fort,Explore the Qutb Shahi Tombs,Light and Sound show at Golconda Fort
Hyderabad,3.0,History,Food,Shopping,Culture,Not Specified,,3,Visit the Salar Jung Museum,Relax at Hussain Sagar Lake and see the Buddha statue,Explore the modern side of Hyderabad: HITEC City and GVK One Mall
Ahmedabad,2.0,History,Culture,Food,Culture,Not Specified,,1,Take a heritage walk through the old city's Pols,Visit the Sabarmati Ashram,Explore the night market at Manek Chowk
Ahmedabad,2.0,History,Culture,Food,Culture,Not Specified,,2,Visit the Adalaj Stepwell,Explore the Calico Museum of Textiles,Enjoy the riverfront at Sabarmati Riverfront
Port Blair,3.0,History,Beach,Nature,Culture,Not Specified,,1,"Arrive and check in, visit Corbyn's Cove Beach",Explore the Cellular Jail (Kala Pani),Attend the Sound and Light Show at the Cellular Jail
Port Blair,3.0,History,Beach,Nature,Culture,Not Specified,,2,Ferry to Ross Island to see British-era ruins,Ferry to North Bay Island for snorkeling and coral viewing,Shopping for souvenirs at Aberdeen Bazaar
Port Blair,3.0,History,Beach,Nature,Culture,Not Specified,,3,Visit Chidiya Tapu for bird watching and sunset views,Explore the Samudrika Naval Marine Museum,Relax and prepare for departure
Havelock Island (Swaraj Dweep),3.0,Beach,Adventure,Photography,Nature,Not Specified,,1,Arrive by ferry from Port Blair,Check in and relax at your resort,Visit Radhanagar Beach (Beach No. 7) for a spectacular sunset
Havelock Island (Swaraj Dweep),3.0,Beach,Adventure,Photography,Nature,Not Specified,,2,Scuba diving or sea walking at Elephant Beach,Snorkeling and exploring the corals at Elephant Beach,Dinner at a seaside restaurant
Havelock Island (Swaraj Dweep),3.0,Beach,Adventure,Photography,Nature,Not Specified,,3,Visit Kalapathar Beach for sunrise,Kayaking through the mangroves,Relax on the beach before departing the next day
Auli,4.0,Adventure,Nature,Photography,Winter Sports,Not Specified,,1,Travel from Rishikesh/Haridwar to Joshimath,Rest in Joshimath,Explore Joshimath town
Auli,4.0,Adventure,Nature,Photography,Winter Sports,Not Specified,,2,Take the cable car (gondola) from Joshimath to Auli,Check in and enjoy the panoramic views of Himalayan peaks like Nanda Devi,Stroll around Auli's meadows
Auli,4.0,Adventure,Nature,Photography,Winter Sports,Not Specified,,3,Skiing lessons and practice on the slopes,Trek to Gorson Bugyal for even better views,Bonfire and dinner
Auli,4.0,Adventure,Nature,Photography,Winter Sports,Not Specified,,4,Visit Auli Artificial Lake,Take the cable car back to Joshimath,Begin return journey
Thekkady (Periyar National Park),2.0,Nature,Wildlife,Adventure,Food,Not Specified,,1,Arrive in Thekkady (Kumily) and check in,Boat safari on Periyar Lake to spot wildlife,Watch a traditional Kathakali or Kalaripayattu performance
